Family,BLFamilyEnglish,Coastal,Notes
Anatidae,"Ducks, geese and swans",Yes,
Caprimulgidae,Nightjars,,
Rallidae,"Rails, crakes and allies",Yes,coastal marshes or water 
Gruidae,Cranes,Yes,Estuaries and saltwater marshes
Laridae,Gulls and terns,Yes,
Strigidae,Owls,,near coast but maybe not coastal? Im sure some hunt in estuarine watersheds 
Picidae,Woodpeckers,,
Paridae,Tits and chickadees,,
Reguliidae,Goldcrests and kinglets,,
Fringillidae,Finches and Hawaiian honeycreepers,,
Emberizidae,"Buntings, American sparrows and allies",,
Parulidae,New World warblers,,
Accipitridae,"Osprey, kites, hawks and eagles",,INVESTIGATE
Meliphagidae,Honeyeaters,,
Muscicapidae,Chats and Old World flycatchers,,
Passeridae,"Sparrows, snowfinches and allies",,
Sylviidae,Old World warblers,,
Timaliidae,Babblers and parrotbills,,
Odontophoridae,New World quails,,
Cuculidae,Cuckoos,,
Trochilidae,Hummingbirds,,
Charadriidae,Plovers,Yes,
Scolopacidae,Sandpipers and allies,Yes,
Ardeidae,Herons and egrets,Yes,
Tytonidae,Barn owls,,
Falconidae,Falcons and caracaras,,INVESTIGATE
Tyrannidae,Tyrant-flycatchers,,
Vireonidae,Vireos and allies,,
Laniidae,Shrikes,,
Alaudidae,Larks,,
Sittidae,Nuthatches and Wallcreeper,,
Certhiidae,Treecreepers,,
Cinclidae,Dippers,,
Turdidae,Thrushes,,
Motacillidae,Wagtails and pipits,,
Icteridae,New World blackbirds,,
Podargidae,Frogmouths,,
Burhinidae,Thick-knees,Yes,
Columbidae,Doves and pigeons,,
Acanthizidae,Thornbills and gerygones,,
Colluricinclidae,Shrike-thrushes and allies,,
Maluridae,Australasian wrens,,
Pachycephalidae,Whistlers,,
Petroicidae,Australasian robins,,
Prunellidae,Accentors,,
Rhipiduridae,Fantails,,
Zosteropidae,White-eyes,,
Psittacidae,Parrots,,
Phasianidae,"Grouse, pheasants and partridges",,
Podicipedidae,Grebes,Yes,
Apodidae,Swifts,,
Recurvirostridae,Stilts and avocets,Yes,
Haematopodidae,Oystercatchers,Yes,
Alcidae,Auks,Yes,
Gaviidae,Loons or divers,Yes,
Pelecanidae,Pelicans,Yes,
Threskiornithidae,Ibises and spoonbills,Yes,some in coastal lagoons
Cathartidae,New World vultures,,INVESTIGATE
Alcedinidae,Kingfishers,Yes,
Corvidae,Crows and jays,,
Remizidae,Penduline-tits,,
Hirundinidae,Swallows and martins,,
Aegithalidae,Long-tailed Tits,,
Bombycillidae,Waxwings,,
Polioptilidae,Gnatcatchers,,
Troglodytidae,Wrens,,
Mimidae,Mockingbirds and thrashers,,
Sturnidae,Starlings,,
Cardinalidae,"Grosbeaks, saltators and allies",,
Anhimidae,Screamers,,"Freshwater habitats like swamps, marshes, lagoons "
Anseranatidae,Magpie Goose,,
Aegothelidae,Owlet-nightjars,,
Hemiprocnidae,Treeswifts,,
Apterygidae,Kiwis,,
Bucerotidae,Hornbills,,
Phoeniculidae,Woodhoopoes,,
Upupidae,Hoopoes,,
Nyctibiidae,Potoos,,
Cariamidae,Seriemas,,
Dromaiidae,Emus,,
Chionidae,Sheathbills and allies,Yes,
Dromadidae,Crab Plover,Yes,
Glareolidae,Coursers and pratincoles,,
Jacanidae,Jacanas,Yes,freshwater wetlands
Rostratulidae,Painted-snipes,Yes,coastal and inland wetlands
Stercorariidae,Skuas and jaegers,Yes,
Thinocoridae,Seedsnipes,,possibly coastal dunes
Turnicidae,Buttonquails,,
Ciconiidae,Storks,Yes,wetlands - freshwater and saltwater
Coliidae,Mousebirds,,
Coraciidae,Rollers,,
Meropidae,Bee-eaters,,
Momotidae,Motmots,,
Todidae,Todies,,
Eurypygidae,Sunbittern,,
Cracidae,Guans and curassows,,
Megapodiidae,Megapodes,,
Numididae,Guineafowl,,
Aramidae,Limpkin,,
Leptosomidae,Cuckoo-Roller,,
Musophagidae,Turacos,,
Opisthocomidae,Hoatzin,,
Otididae,Bustards,,
Acanthisittidae,New Zealand wrens,,
Aegithinidae,Ioras,,
Artamidae,Woodswallows,,
Callaeatidae,Wattled crows,,
Campephagidae,Cuckoo-shrikes,,
Chloropseidae,Leafbirds,,
Cinclosomatidae,Quail-thrushes,,
Cisticolidae,Cisticolas and allies,,
Climacteridae,Australian treecreepers,,
Coerebidae,Bananaquit,,
Conopophagidae,Gnateaters,,
Corcoracidae,Australian mudnesters,,
Cotingidae,Cotingas,,
Cracticidae,Butcherbirds,,
Dasyornithidae,Bristlebirds,,
Dendrocolaptidae,Woodcreepers,,
Dicaeidae,Flowerpeckers,,
Dicruridae,Drongos,,
Dulidae,Palmchat,,
Estrildidae,"Waxbills, grass finches, munias and allies",,
Eupetidae,"Whipbirds, wedgebills and jewel-babblers",,
Eurylaimidae,Broadbills,,
Falcunculidae,Shrike-tits,,
Formicariidae,Antthrushes and antpittas,,
Furnariidae,Ovenbirds,,
Irenidae,Fairy-bluebirds,,
Malaconotidae,"Helmetshrikes, bushshrikes and puffbacks",,
Menuridae,Lyrebirds,,
Monarchidae,Monarchs,,
Nectariniidae,Sunbirds,,
Neosittidae,Sittellas,,
Oriolidae,Orioles and figbirds,,
Orthonychidae,Logrunners,,
Paradisaeidae,Birds of paradise,,
Pardalotidae,Pardalotes,,
Peucedramidae,Olive Warbler,,
Pipridae,Manakins,,
Pittidae,Pittas,,
Platysteiridae,"Shrike-flycatchers, wattle-eyes and batises",,
Ploceidae,Weavers and allies,,
Pomatostomidae,Australasian babblers,,
Promeropidae,Sugarbirds,,
Ptilonorhynchidae,Bowerbirds,,
Pycnonotidae,Bulbuls,,
Rhabdornithidae,Philippine creepers,,
Rhinocryptidae,Tapaculos,,
Thamnophilidae,Antbirds,,
Thraupidae,Tanagers,,
Vangidae,Vangas,,
Viduidae,Indigobirds and allies,,
Balaenicipitidae,Shoebill,,
Scopidae,Hammerkop,,
Phaethontidae,Tropicbirds,,
Phoenicopteridae,Flamingos,Yes,freshwater and beaches
Bucconidae,Puffbirds,,
Galbulidae,Jacamars,,
Indicatoridae,Honeyguides,,
Ramphastidae,Toucans and barbets,,
Diomedeidae,Albatrosses,Yes,
Procellariidae,Petrels and shearwaters,Yes,
Pteroclididae,Sandgrouse,,
Rheidae,Rheas,,
Spheniscidae,Penguins,Yes,
Struthionidae,Ostriches,,
Anhingidae,Anhingas,Yes,brackish water sometimes
Fregatidae,Frigatebirds,Yes,
Phalacrocoracidae,Cormorants,Yes,
Sulidae,Gannets and boobies,Yes,
Tinamidae,Tinamous,,
Trogonidae,Trogons,,
Passerellidae,New World Sparrows,,
Acrocephalidae,Reed Warblers and Allies,,"Marshes, and gleaning insects off water, but not specific mention of coastal"
Caprimulgidae,Nightjars,,
Columbidae,Doves and pigeons,,
Psittaculidae,Old World parrots,,
Scolopacidae,Sandpipers and allies,Yes,
Phylloscopidae,Leaf Warblers,,
Sylviidae,Old World warblers,,
Petroicidae,Australasian robins,,
Leiothrichidae,Laughingthrushes and Allies,,
Cacatuidae,Cockatoos,,
Cuculidae,Cuckoos,,
Pachycephalidae,Whistlers,,
Rhipiduridae,Fantails,,
Charadriidae,Plovers,Yes,
Parulidae,New World warblers,,
Casuariidae,Cassowaries,,
Bucorvidae,Ground-hornbills,,
Brachypteraciidae,Ground-rollers,,
Steatornithidae,Oilbird,,
Heliornithidae,Finfoots,Yes,"Coastal lagons, eat mollusks and crustaceans - not in dataset"
Mesitornithidae,Mesites,,
Ibidorhynchidae,Ibisbill,,mountains rivers
Pelecanoididae,Diving-petrels,Yes,
Hydrobatidae,Storm-petrels,Yes,
Philepittidae,Asities,,
Atrichornithidae,Scrub-birds,,
Cnemophilidae,Satin birds,,
Pityriaseidae,Bristlehead,,
Machaerirhynchidae,Boatbills,,
Picathartidae,Rockfowl,,
Melanocharitidae,Berrypeckers,,
Urocynchramidae,Pink-tailed Bunting,,
Sapayoaidae,Sapayoa,,
Psophiidae,Trumpeters,,
Rhynochetidae,Kagu,,
Pedionomidae,Plains Wanderer,,
