,.,coastal?
1,Taiga Bean-Goose,N
2,Barnacle Goose,C   
3,Upland Goose,C
4,Wood Duck,N
5,Puna Teal,N
6,Giant Wood-Rail,N
7,Russet-naped Wood-Rail,C
8,Gray-cowled Wood-Rail,C
9,Slaty-breasted Wood-Rail,C
10,Plain Bush-hen,N
11,Mountain Plover,N
12,Upland Sandpiper,N
13,Eurasian Woodcock,C
14,American Woodcock,N
15,Wood Sandpiper,C
16,Wood Stork,C
17,Rufescent Tiger-Heron,C
18,Fasciated Tiger-Heron,N
19,Bare-throated Tiger-Heron,C
20,Cattle Egret,C
21,Indian Pond-Heron,C
22,Chinese Pond-Heron,C
23,Javan Pond-Heron,C
24,Malagasy Pond-Heron,C
25,Puna Ibis,C
26,European Honey-buzzard,N
27,Oriental Honey-buzzard,N
28,Mountain Hawk-Eagle,N
29,Steppe Eagle,N
30,Savanna Hawk,C
31,Woodland Kingfisher,N
32,Forest Kingfisher,C
33,Collared Forest-Falcon,C
34,Slaty-backed Forest-Falcon,N
35,Barred Forest-Falcon,C
36,Bat Falcon,N
37,Prairie Falcon,N
