"","Family_Sci","Family_English"
"1","Anatidae","(Ducks, Geese, and Waterfowl)"
"2","Caprimulgidae","(Nightjars and Allies)"
"3","Rallidae","(Rails, Gallinules, and Coots)"
"4","Gruidae","(Cranes)"
"5","Laridae","(Gulls, Terns, and Skimmers)"
"6","Strigidae","(Owls)"
"7","Picidae","(Woodpeckers)"
"8","Paridae","(Tits, Chickadees, and Titmice)"
"9","Regulidae","(Kinglets)"
"10","Fringillidae","(Finches, Euphonias, and Allies)"
"11","Passerellidae","(New World Sparrows)"
"12","Parulidae","(New World Warblers)"
"13","Accipitridae","(Hawks, Eagles, and Kites)"
"14","Meliphagidae","(Honeyeaters)"
"15","Muscicapidae","(Old World Flycatchers)"
"16","Passeridae","(Old World Sparrows)"
"17","Acrocephalidae","(Reed Warblers and Allies)"
"18","Sylviidae","(Sylviid Warblers, Parrotbills, and Allies)"
"19","Leiothrichidae","(Laughingthrushes and Allies)"
"20","Odontophoridae","(New World Quail)"
"21","Cuculidae","(Cuckoos)"
"22","Trochilidae","(Hummingbirds)"
"23","Charadriidae","(Plovers and Lapwings)"
"24","Scolopacidae","(Sandpipers and Allies)"
"25","Ardeidae","(Herons, Egrets, and Bitterns)"
"26","Tytonidae","(Barn-Owls)"
"27","Falconidae","(Falcons and Caracaras)"
"28","Tyrannidae","(Tyrant Flycatchers)"
"29","Vireonidae","(Vireos, Shrike-Babblers, and Erpornis)"
"30","Laniidae","(Shrikes)"
"31","Alaudidae","(Larks)"
"32","Sittidae","(Nuthatches)"
"33","Certhiidae","(Treecreepers)"
"34","Cinclidae","(Dippers)"
"35","Turdidae","(Thrushes and Allies)"
"36","Motacillidae","(Wagtails and Pipits)"
"37","Icteridae","(Troupials and Allies)"
"38","Cardinalidae","(Cardinals and Allies)"
"39","Podargidae","(Frogmouths)"
"40","Burhinidae","(Thick-knees)"
"41","Columbidae","(Pigeons and Doves)"
"42","Acanthizidae","(Thornbills and Allies)"
"43","Pachycephalidae","(Whistlers and Allies)"
"44","Emberizidae","(Old World Buntings)"
"45","Maluridae","(Fairywrens)"
"46","Petroicidae","(Australasian Robins)"
"47","Prunellidae","(Accentors)"
"48","Rhipiduridae","(Fantails)"
"49","Phylloscopidae","(Leaf Warblers)"
"50","Zosteropidae","(White-eyes, Yuhinas, and Allies)"
"51","Cacatuidae","(Cockatoos)"
"52","Psittaculidae","(Old World Parrots)"
"53","Phasianidae","(Pheasants, Grouse, and Allies)"
"54","Podicipedidae","(Grebes)"
"55","Apodidae","(Swifts)"
"56","Recurvirostridae","(Stilts and Avocets)"
"57","Haematopodidae","(Oystercatchers)"
"58","Alcidae","(Auks, Murres, and Puffins)"
"59","Gaviidae","(Loons)"
"60","Pelecanidae","(Pelicans)"
"61","Threskiornithidae","(Ibises and Spoonbills)"
"62","Cathartidae","(New World Vultures)"
"63","Pandionidae","(Osprey)"
"64","Alcedinidae","(Kingfishers)"
"65","Corvidae","(Crows, Jays, and Magpies)"
"66","Remizidae","(Penduline-Tits)"
"67","Hirundinidae","(Swallows)"
"68","Aegithalidae","(Long-tailed Tits)"
"69","Bombycillidae","(Waxwings)"
"70","Ptiliogonatidae","(Silky-flycatchers)"
"71","Polioptilidae","(Gnatcatchers)"
"72","Troglodytidae","(Wrens)"
"73","Mimidae","(Mockingbirds and Thrashers)"
"74","Sturnidae","(Starlings)"
"75","Calcariidae","(Longspurs and Snow Buntings)"
"76","Icteriidae","(Yellow-breasted Chat)"
"77","Anhimidae","(Screamers)"
"78","Anseranatidae","(Magpie Goose)"
"79","Aegothelidae","(Owlet-nightjars)"
"80","Hemiprocnidae","(Treeswifts)"
"81","Apterygidae","(Kiwis)"
"82","Bucerotidae","(Hornbills)"
"83","Phoeniculidae","(Woodhoopoes and Scimitarbills)"
"84","Upupidae","(Hoopoes)"
"85","Nyctibiidae","(Potoos)"
"86","Cariamidae","(Seriemas)"
"87","Casuariidae","(Cassowaries and Emu)"
"88","Pluvianellidae","(Magellanic Plover)"
"89","Dromadidae","(Crab-Plover)"
"90","Glareolidae","(Pratincoles and Coursers)"
"91","Jacanidae","(Jacanas)"
"92","Rostratulidae","(Painted-Snipes)"
"93","Stercorariidae","(Skuas and Jaegers)"
"94","Thinocoridae","(Seedsnipes)"
"95","Turnicidae","(Buttonquail)"
"96","Ciconiidae","(Storks)"
"97","Coliidae","(Mousebirds)"
"98","Coraciidae","(Rollers)"
"99","Meropidae","(Bee-eaters)"
"100","Momotidae","(Motmots)"
"101","Todidae","(Todies)"
"102","Eurypygidae","(Sunbittern)"
"103","Cracidae","(Guans, Chachalacas, and Curassows)"
"104","Megapodiidae","(Megapodes)"
"105","Numididae","(Guineafowl)"
"106","Aramidae","(Limpkin)"
"107","Leptosomidae","(Cuckoo-roller)"
"108","Musophagidae","(Turacos)"
"109","Opisthocomidae","(Hoatzin)"
"110","Otididae","(Bustards)"
"111","Acanthisittidae","(New Zealand Wrens)"
"112","Mohouidae","(Whiteheads)"
"113","Aegithinidae","(Ioras)"
"114","Artamidae","(Woodswallows, Bellmagpies, and Allies)"
"115","Callaeidae","(Wattlebirds)"
"116","Campephagidae","(Cuckooshrikes)"
"117","Vangidae","(Vangas, Helmetshrikes, and Allies)"
"118","Thraupidae","(Tanagers and Allies)"
"119","Chloropseidae","(Leafbirds)"
"120","Cinclosomatidae","(Quail-thrushes and Jewel-babblers)"
"121","Cisticolidae","(Cisticolas and Allies)"
"122","Climacteridae","(Australasian Treecreepers)"
"123","Conopophagidae","(Gnateaters)"
"124","Corcoracidae","(White-winged Chough and Apostlebird)"
"125","Cotingidae","(Cotingas)"
"126","Tityridae","(Tityras and Allies)"
"127","Dasyornithidae","(Bristlebirds)"
"128","Furnariidae","(Ovenbirds and Woodcreepers)"
"129","Dicaeidae","(Flowerpeckers)"
"130","Dicruridae","(Drongos)"
"131","Dulidae","(Palmchat)"
"132","Estrildidae","(Waxbills and Allies)"
"133","Psophodidae","(Whipbirds and Wedgebills)"
"134","Calyptomenidae","(African and Green Broadbills)"
"135","Eurylaimidae","(Asian and Grauer's Broadbills)"
"136","Falcunculidae","(Shrike-tits)"
"137","Formicariidae","(Antthrushes)"
"138","Grallariidae","(Antpittas)"
"139","Irenidae","(Fairy-bluebirds)"
"140","Malaconotidae","(Bushshrikes and Allies)"
"141","Notiomystidae","(Stitchbird)"
"142","Menuridae","(Lyrebirds)"
"143","Donacobiidae","(Donacobius)"
"144","Monarchidae","(Monarch Flycatchers)"
"145","Stenostiridae","(Fairy Flycatchers)"
"146","Nectariniidae","(Sunbirds and Spiderhunters)"
"147","Neosittidae","(Sittellas)"
"148","Oriolidae","(Old World Orioles)"
"149","Orthonychidae","(Logrunners)"
"150","Paradisaeidae","(Birds-of-Paradise)"
"151","Pardalotidae","(Pardalotes)"
"152","Teretistridae","(Cuban Warblers)"
"153","Ploceidae","(Weavers and Allies)"
"154","Peucedramidae","(Olive Warbler)"
"155","Pipridae","(Manakins)"
"156","Pittidae","(Pittas)"
"157","Platysteiridae","(Wattle-eyes and Batises)"
"158","Pomatostomidae","(Pseudo-Babblers)"
"159","Promeropidae","(Sugarbirds)"
"160","Ptilonorhynchidae","(Bowerbirds)"
"161","Pycnonotidae","(Bulbuls)"
"162","Rhinocryptidae","(Tapaculos)"
"163","Melanopareiidae","(Crescentchests)"
"164","Buphagidae","(Oxpeckers)"
"165","Scotocercidae","(Bush Warblers and Allies)"
"166","Bernieridae","(Malagasy Warblers)"
"167","Locustellidae","(Grassbirds and Allies)"
"168","Macrosphenidae","(African Warblers)"
"169","Thamnophilidae","(Typical Antbirds)"
"170","Mitrospingidae","(Mitrospingid Tanagers)"
"171","Phaenicophilidae","(Hispaniolan Tanagers)"
"172","Rhodinocichlidae","(Thrush-Tanager)"
"173","Spindalidae","(Spindalises)"
"174","Pellorneidae","(Ground Babblers and Allies)"
"175","Timaliidae","(Tree-Babblers, Scimitar-Babblers, and Allies)"
"176","Panuridae","(Bearded Reedling)"
"177","Pnoepygidae","(Cupwings)"
"178","Chaetopidae","(Rockjumpers)"
"179","Oxyruncidae","(Sharpbill, Royal Flycatcher, and Allies)"
"180","Viduidae","(Indigobirds)"
"181","Balaenicipitidae","(Shoebill)"
"182","Scopidae","(Hamerkop)"
"183","Phaethontidae","(Tropicbirds)"
"184","Phoenicopteridae","(Flamingos)"
"185","Bucconidae","(Puffbirds)"
"186","Galbulidae","(Jacamars)"
"187","Indicatoridae","(Honeyguides)"
"188","Ramphastidae","(Toucans)"
"189","Capitonidae","(New World Barbets)"
"190","Lybiidae","(African Barbets)"
"191","Megalaimidae","(Asian Barbets)"
"192","Diomedeidae","(Albatrosses)"
"193","Procellariidae","(Shearwaters and Petrels)"
"194","Psittacidae","(New World and African Parrots)"
"195","Strigopidae","(New Zealand Parrots)"
"196","Pteroclidae","(Sandgrouse)"
"197","Rheidae","(Rheas)"
"198","Spheniscidae","(Penguins)"
"199","Struthionidae","(Ostriches)"
"200","Anhingidae","(Anhingas)"
"201","Fregatidae","(Frigatebirds)"
"202","Phalacrocoracidae","(Cormorants and Shags)"
"203","Sulidae","(Boobies and Gannets)"
"204","Tinamidae","(Tinamous)"
"205","Trogonidae","(Trogons)"
